Partial_Postcode,Population2023,LSOA_Code,Postcode,Town,District,County
BS5 9,9968.637246849165,E01014564,BS5 9AG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 9,9968.637246849165,E01014567,BS5 9LE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014671,BS6 5AR,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014489,BS6 5EH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014671,BS6 5AS,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014487,BS6 5HA,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014563,BS6 5TB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014487,BS6 5DR,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014487,BS6 5AN,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014486,BS6 5LR,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014487,BS6 5EA,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014671,BS6 5AJ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014491,BS6 5DS,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014487,BS6 5HD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014671,BS6 5HG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014488,BS6 5QQ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014563,BS6 5SJ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014487,BS6 5EX,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01033367,BS6 5SH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014671,BS6 5AL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014487,BS6 5EZ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014668,BS6 5AQ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014487,BS6 5HB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014487,BS6 5EE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014487,BS6 5DP,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014488,BS6 5HU,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014489,BS6 5EW,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014487,BS6 5DJ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014671,BS6 5DG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014671,BS6 5AH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014488,BS6 5ER,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014489,BS6 5QE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014671,BS6 5AW,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014671,BS6 5AT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 5,10788.211478280828,E01014491,BS6 5DU,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
